0: Accipiter_cooperii.fasta
1: Accipiter_virgatus.fasta
2: Aegolius_funereus.fasta
3: Aegypius_monachus.fasta
4: Alatina_alata.fasta
5: Alligator_mississippiensis.fasta
6: Amia_calva.fasta
7: Andrias_davidianus.fasta
8: Anolis_carolinensis.fasta
9: Aotus_nancymaae.fasta
10: Archocentrus_centrarchus.fasta
11: Asio_flammeus.fasta
12: Asio_otus.fasta
13: Athene_noctua.fasta
14: Aulonocara_baenschi.fasta
15: Balaena_mysticetus.fasta
16: Bos_taurus.fasta
17: Branchiostoma_floridae.fasta
18: Bubo_bubo.fasta
19: Bubo_virginianus.fasta
20: Butastur_indicus.fasta
21: Buteo_jamaicensis.fasta
22: Cairina_moschata.fasta
23: Callithrix_jacchus.fasta
24: Canis_familiaris.fasta
25: Carcharhinus_amblyrhynchos.fasta
26: Chiloscyllium_punctatum.fasta
27: Ciona_intestinalis.fasta
28: Circus_melanoleucos.fasta
29: Columba_livia.fasta
30: Corvus_cornix.fasta
31: Corvus_corone.fasta
32: Coturnix_japonica.fasta
33: Ctenophorus_decresii.fasta
34: Cynopterus_sphinx.fasta
35: Danio_rerio.fasta
36: Dromaius_novaehollandiae.fasta
37: Drosophila_melanogaster.fasta
38: Elanus_caeruleus.fasta
39: Electrona_risso.fasta
40: Eonycteris_spelaea.fasta
41: Eptatretus_cirrhatus.fasta
42: Equus_caballus.fasta
43: Esox_lucius.fasta
44: Euprymna_scolopes.fasta
45: Falco_subbuteo.fasta
46: Falco_tinnunculus.fasta
47: Felis_catus.fasta
48: Gadus_morhua.fasta
49: Gallus_gallus.fasta
50: Gekko_gecko.fasta
51: Geotria_australis.fasta
52: Ginglymostoma_cirratum.fasta
53: Gymnothorax_saxicola.fasta
54: Habronattus_gilaensis.fasta
55: Hipposideros_armiger.fasta
56: Homo_sapiens.fasta
57: Ictidomys_tridecemlineatus.fasta
58: Lepisosteus_oculatus.fasta
59: Lepisosteus_platyrhincus.fasta
60: Lepomis_macrochirus.fasta
61: Lethenteron_camtschaticum.fasta
62: Lethenteron_japonicum.fasta
63: Macaca_fascicularis.fasta
64: Macaca_mulatta.fasta
65: Megascops_asio.fasta
66: Melopsittacus_undulatus.fasta
67: Mizuhopecten_yessoensis.fasta
68: Monodelphis_domestica.fasta
69: Mordacia_mordax.fasta
70: Motacilla_alba.fasta
71: Mus_musculus.fasta
72: Myospalax_baileyi.fasta
73: Myotis_laniger.fasta
74: Naja_naja.fasta
75: Neotrygon_kuhlii.fasta
76: Nephrops_norvegicus.fasta
77: Octopus_bimaculoides.fasta
78: Otus_bakkamoena.fasta
79: Otus_scops.fasta
80: Papio_anubis.fasta
81: Petromyzon_marinus.fasta
82: Picus_canus.fasta
83: Plethodon_cinereus.fasta
84: Psammomys_obesus.fasta
85: Rattus_norvegicus.fasta
86: Rhinecanthus_aculeatus.fasta
87: Scyliorhinus_torazame.fasta
88: Sepioteuthis_sepioidea.fasta
89: Serinus_canaria.fasta
90: Silurus_meridionalis.fasta
91: Sparus_aurata.fasta
92: Strix_aluco.fasta
93: Strix_varia.fasta
94: Struthio_camelus.fasta
95: Sus_scrofa.fasta
96: Taeniopygia_guttata.fasta
97: Taphozous_melanopogon.fasta
98: Thamnophis_sirtalis.fasta
99: Thunnus_albacares.fasta
100: Trochilus_hybrid.fasta
101: Trochilus_polytmus.fasta
102: Trochilus_scitulus.fasta
103: Tyto_alba.fasta
104: Tyto_longimembris.fasta
105: Upupa_epops.fasta
106: Xenopus_laevis.fasta
107: Xenopus_tropicalis.fasta
