genus_species,ensembl_name,common_name,group
Xenopus_tropicalis,xtropicalis,Tropical_clawed_frog,amphibian
Danio_rerio,drerio,Zebrafish,bonyfish
Gadus_morhua,gmorhua,Cod,bonyfish
Lepisosteus_oculatus,loculatus,Spotted_gar,bonyfish
Sparus_aurata,saurata,Gilthead_seabream,bonyfish
Petromyzon_marinus,pmarinus,Lamprey,lamprey
Anolis_carolinensis,acarolinensis,Anole_Lizard,lizard
Bos_taurus,btaurus,Cow,mammal
Callithrix_jacchus,cjacchus,Marmoset,mammal
Canis_lfamiliaris,clfamiliaris,Dog,mammal
Equus_caballus,ecaballus,Horse,mammal
Felis_catus,fcatus,Cat,mammal
Homo_sapiens,hsapiens,Human,mammal
Monodelphis_domestica,mdomestica,Opposum,mammal
Macaca_mulatta,mmulatta,Macaque,mammal
Mus_musculus,mmusculus,Mouse,mammal
Papio_anubis,panubis,Olive_baboon,mammal
Rattus_norvegicus,rnorvegicus,Rat,mammal
Sus_scrofa,sscrofa,Pig,mammal
Coturnix_japonica,cjaponica,Japanese_quail,bird
Gallus_gallus,ggallus,Chicken,bird
Melopsittacus_undulatus,mundulatus,Budgerigar,bird
Serinus_canaria,scanaria,Common_canary,bird
Taeniopygia_guttata,tguttata,Zebra_finch,bird
Ictidomys_tridecemlineatus,itridecemlineatus,Squirrel,mammal
Dromaius_novaehollandiae,dnovaehollandiae,Emu,bird
Aotus_nancymaae,anancymaae,Mas_night_monkey,mammal
Drosophila_melanogaster,dmelanogaster,Fruit_fly,insect
Ciona_intestinalis,cintestinalis,Ciona,tunicate

